x-axis,1,2,3
second,Volt,Volt,Volt
+15.6325000E+00,,,
+15.6327500E+00,,,
+15.6330000E+00,+2.8179647E+00,+3.6268844E+00,+2.8258795E+00
+15.6332500E+00,+2.8732410E+00,+3.6896985E+00,+2.9062816E+00
+15.6335000E+00,+2.8983667E+00,+3.7776382E+00,+2.8861811E+00
+15.6337500E+00,+2.8983667E+00,+3.7776382E+00,+2.9464826E+00
+15.6340000E+00,+2.8380652E+00,+3.8278894E+00,+2.8258795E+00
+15.6342500E+00,+2.8732410E+00,+3.8278894E+00,+2.8258795E+00
+15.6345000E+00,+2.8179647E+00,+3.6896985E+00,+2.9062816E+00
+15.6347500E+00,+2.8179647E+00,+3.8278894E+00,+2.8861811E+00
+15.6350000E+00,+2.9184672E+00,+3.6896985E+00,+2.9314072E+00
+15.6352500E+00,+2.8983667E+00,+3.8278894E+00,+2.8510052E+00
+15.6355000E+00,+2.8179647E+00,+3.7776382E+00,+2.9062816E+00
+15.6357500E+00,+2.9184672E+00,+3.7776382E+00,+2.8861811E+00
+15.6360000E+00,+2.8983667E+00,+3.8278894E+00,+2.9062816E+00
+15.6362500E+00,+2.8732410E+00,+3.6896985E+00,+2.9062816E+00
+15.6365000E+00,+2.8732410E+00,+3.6268844E+00,+2.9062816E+00
+15.6367500E+00,+2.8380652E+00,+3.6268844E+00,+2.9062816E+00
+15.6370000E+00,+2.8179647E+00,+3.8278894E+00,+2.9314072E+00
+15.6372500E+00,+2.8983667E+00,+3.7776382E+00,+2.9062816E+00
+15.6375000E+00,+2.8983667E+00,+3.8278894E+00,+2.8861811E+00
+15.6377500E+00,+2.8179647E+00,+3.8278894E+00,+2.8510052E+00
+15.6380000E+00,+2.8732410E+00,+3.7776382E+00,+2.9062816E+00
+15.6382500E+00,+2.8179647E+00,+3.6896985E+00,+2.9665831E+00
+15.6385000E+00,+2.9335425E+00,+3.6896985E+00,+2.8258795E+00
+15.6387500E+00,+2.8179647E+00,+3.8278894E+00,+2.9062816E+00
+15.6390000E+00,+2.8179647E+00,+3.6268844E+00,+2.8258795E+00
+15.6392500E+00,+2.8179647E+00,+3.8278894E+00,+2.9062816E+00
+15.6395000E+00,+2.8983667E+00,+3.8278894E+00,+2.9665831E+00
+15.6397500E+00,+2.9184672E+00,+3.6268844E+00,+2.9062816E+00
+15.6400000E+00,+2.8983667E+00,+3.8278894E+00,+2.9314072E+00
+15.6402500E+00,+2.8732410E+00,+3.8278894E+00,+2.9464826E+00
+15.6405000E+00,+2.8983667E+00,+3.6896985E+00,+2.9062816E+00
+15.6407500E+00,+2.8179647E+00,+3.8278894E+00,+2.8510052E+00
+15.6410000E+00,+2.8983667E+00,+3.8278894E+00,+2.8861811E+00
+15.6412500E+00,+2.8983667E+00,+3.6896985E+00,+2.8861811E+00
+15.6415000E+00,+2.8732410E+00,+3.7776382E+00,+2.9062816E+00
+15.6417500E+00,+2.8732410E+00,+3.9283919E+00,+2.9062816E+00
+15.6420000E+00,+2.7576632E+00,+3.6896985E+00,+2.8258795E+00
+15.6422500E+00,+2.8732410E+00,+3.6896985E+00,+2.8861811E+00
+15.6425000E+00,+2.9184672E+00,+3.8278894E+00,+2.9062816E+00
+15.6427500E+00,+2.8380652E+00,+3.7776382E+00,+2.9062816E+00
+15.6430000E+00,+2.8732410E+00,+3.7776382E+00,+2.9464826E+00
+15.6432500E+00,+2.8179647E+00,+3.8278894E+00,+2.9062816E+00
+15.6435000E+00,+2.8179647E+00,+3.8278894E+00,+2.9062816E+00
+15.6437500E+00,+2.8380652E+00,+3.8278894E+00,+2.8861811E+00
+15.6440000E+00,+2.8983667E+00,+3.7776382E+00,+2.9314072E+00
+15.6442500E+00,+2.8380652E+00,+3.6896985E+00,+2.9062816E+00
+15.6445000E+00,+2.8732410E+00,+3.6896985E+00,+2.8510052E+00
+15.6447500E+00,+2.8732410E+00,+3.8278894E+00,+2.8861811E+00
+15.6450000E+00,+2.8732410E+00,+3.6896985E+00,+2.9062816E+00
+15.6452500E+00,+2.8179647E+00,+3.7776382E+00,+2.9062816E+00
+15.6455000E+00,+2.8380652E+00,+3.8278894E+00,+2.9062816E+00
+15.6457500E+00,+2.8179647E+00,+3.6896985E+00,+2.9062816E+00
+15.6460000E+00,+2.8732410E+00,+3.8278894E+00,+2.8510052E+00
+15.6462500E+00,+2.8732410E+00,+3.6268844E+00,+2.9062816E+00
+15.6465000E+00,+2.8179647E+00,+3.6268844E+00,+2.8861811E+00
+15.6467500E+00,+2.8380652E+00,+3.7776382E+00,+2.8258795E+00
+15.6470000E+00,+2.8179647E+00,+3.8278894E+00,+2.9314072E+00
+15.6472500E+00,+2.7928390E+00,+3.6268844E+00,+2.9665831E+00
+15.6475000E+00,+2.8732410E+00,+3.8278894E+00,+2.8711057E+00
+15.6477500E+00,+2.8983667E+00,+3.7776382E+00,+2.9665831E+00
+15.6480000E+00,+2.8732410E+00,+3.6268844E+00,+2.9062816E+00
+15.6482500E+00,+2.8732410E+00,+3.6896985E+00,+2.9062816E+00
+15.6485000E+00,+2.8732410E+00,+3.6896985E+00,+2.9062816E+00
+15.6487500E+00,+2.8380652E+00,+3.8278894E+00,+2.8510052E+00
+15.6490000E+00,+2.8983667E+00,+3.6268844E+00,+2.8861811E+00
+15.6492500E+00,+2.8732410E+00,+3.8278894E+00,+2.9062816E+00
+15.6495000E+00,+2.8983667E+00,+3.6896985E+00,+2.8861811E+00
+15.6497500E+00,+2.8380652E+00,+3.8278894E+00,+2.9062816E+00
+15.6500000E+00,+2.8732410E+00,+3.6896985E+00,+2.9062816E+00
+15.6502500E+00,+2.8983667E+00,+3.7776382E+00,+2.9665831E+00
+15.6505000E+00,+2.8531405E+00,+3.8278894E+00,+2.9062816E+00
+15.6507500E+00,+2.8380652E+00,+3.6268844E+00,+2.9062816E+00
