x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+11.620000E+00,-21.231E-03,+3.802764E+00,+2.840955E+00,-451.935E-03
+11.622500E+00,-46.357E-03,+3.827889E+00,+2.956533E+00,+226.457E-03
+11.625000E+00,-51.382E-03,+3.827889E+00,+2.881156E+00,-451.935E-03
+11.627500E+00,-86.558E-03,+3.626884E+00,+2.906282E+00,-49.925E-03
+11.630000E+00,-76.508E-03,+3.664573E+00,+2.921357E+00,-288.618E-03
+11.632500E+00,-46.357E-03,+3.752513E+00,+2.861055E+00,+264.146E-03
+11.635000E+00,-76.508E-03,+3.827889E+00,+2.936432E+00,-389.121E-03
+11.637500E+00,-71.483E-03,+3.652010E+00,+2.906282E+00,+125.955E-03
+11.640000E+00,-76.508E-03,+3.802764E+00,+2.840955E+00,-112.739E-03
+11.642500E+00,-76.508E-03,+3.827889E+00,+2.876131E+00,+25.452E-03
+11.645000E+00,-131.784E-03,+3.827889E+00,+2.961558E+00,-250.930E-03
+11.647500E+00,+3.894E-03,+3.827889E+00,+2.906282E+00,+151.080E-03
+11.650000E+00,-136.809E-03,+3.827889E+00,+2.906282E+00,-250.930E-03
+11.652500E+00,-76.508E-03,+3.827889E+00,+2.906282E+00,+151.080E-03
+11.655000E+00,-76.508E-03,+3.765075E+00,+2.856030E+00,-250.930E-03
+11.657500E+00,-86.558E-03,+3.626884E+00,+2.835930E+00,+151.080E-03
+11.660000E+00,-66.457E-03,+3.802764E+00,+2.825880E+00,-426.809E-03
+11.662500E+00,-111.684E-03,+3.626884E+00,+2.941457E+00,+226.457E-03
+11.665000E+00,-76.508E-03,+3.827889E+00,+2.881156E+00,-250.930E-03
+11.667500E+00,-76.508E-03,+3.827889E+00,+2.971608E+00,+151.080E-03
+11.670000E+00,+3.894E-03,+4.003769E+00,+2.921357E+00,-426.809E-03
+11.672500E+00,-76.508E-03,+3.752513E+00,+2.906282E+00,+226.457E-03
+11.675000E+00,-131.784E-03,+3.765075E+00,+2.856030E+00,-389.121E-03
+11.677500E+00,-76.508E-03,+3.626884E+00,+2.825880E+00,+151.080E-03
+11.680000E+00,-76.508E-03,+3.865578E+00,+2.906282E+00,-288.618E-03
+11.682500E+00,-76.508E-03,+3.827889E+00,+2.876131E+00,+151.080E-03
+11.685000E+00,-76.508E-03,+3.702261E+00,+2.881156E+00,-389.121E-03
+11.687500E+00,-76.508E-03,+3.652010E+00,+2.891206E+00,+151.080E-03
+11.690000E+00,-91.583E-03,+3.827889E+00,+2.896231E+00,-250.930E-03
+11.692500E+00,-31.282E-03,+3.626884E+00,+2.906282E+00,+226.457E-03
+11.695000E+00,-76.508E-03,+3.827889E+00,+2.856030E+00,-389.121E-03
+11.697500E+00,-232.287E-03,+3.815327E+00,+2.906282E+00,+326.960E-03
+11.700000E+00,-146.859E-03,+3.827889E+00,+2.906282E+00,-250.930E-03
+11.702500E+00,-126.759E-03,+3.827889E+00,+2.906282E+00,+264.146E-03
+11.705000E+00,-26.256E-03,+3.827889E+00,+2.825880E+00,-250.930E-03
+11.707500E+00,-16.206E-03,+3.815327E+00,+2.835930E+00,+151.080E-03
+11.710000E+00,-11.181E-03,+3.802764E+00,+2.906282E+00,-288.618E-03
+11.712500E+00,-31.282E-03,+3.827889E+00,+2.906282E+00,+226.457E-03
+11.715000E+00,-76.508E-03,+3.827889E+00,+2.856030E+00,-326.307E-03
+11.717500E+00,-76.508E-03,+3.853015E+00,+2.916332E+00,+151.080E-03
+11.720000E+00,-76.508E-03,+3.827889E+00,+2.976633E+00,-250.930E-03
