x-axis,1,2,3
second,Volt,Volt,Volt
+15.1500000E+00,+2.8983667E+00,-192.2111E-03,+2.9917087E+00
+15.1505000E+00,+2.8933415E+00,-179.6483E-03,+2.9062816E+00
+15.1510000E+00,+2.8983667E+00,+209.7989E-03,+2.9062816E+00
+15.1515000E+00,+2.8933415E+00,+8.7939E-03,+2.9113067E+00
+15.1520000E+00,+2.8933415E+00,+8.7939E-03,+2.9062816E+00
+15.1525000E+00,+2.8983667E+00,-179.6483E-03,+2.9062816E+00
+15.1530000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.1535000E+00,+2.8179647E+00,+8.7939E-03,+2.9113067E+00
+15.1540000E+00,+2.9737436E+00,+8.7939E-03,+2.8309047E+00
+15.1545000E+00,+2.8983667E+00,+209.7989E-03,+2.8309047E+00
+15.1550000E+00,+2.8933415E+00,+8.7939E-03,+2.9062816E+00
+15.1555000E+00,+2.8983667E+00,+8.7939E-03,+2.8309047E+00
+15.1560000E+00,+2.8179647E+00,+21.3567E-03,+2.9866836E+00
+15.1565000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.1570000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.1575000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.1580000E+00,+2.8933415E+00,+8.7939E-03,+2.9062816E+00
+15.1585000E+00,+2.8179647E+00,+8.7939E-03,+2.8258795E+00
+15.1590000E+00,+2.8983667E+00,+8.7939E-03,+2.8309047E+00
+15.1595000E+00,+2.8933415E+00,+8.7939E-03,+2.8309047E+00
+15.1600000E+00,+2.9737436E+00,+8.7939E-03,+2.9062816E+00
+15.1605000E+00,+2.8983667E+00,+8.7939E-03,+2.8309047E+00
+15.1610000E+00,+2.8933415E+00,-192.2111E-03,+2.9062816E+00
+15.1615000E+00,+2.8179647E+00,+8.7939E-03,+2.9062816E+00
+15.1620000E+00,+2.8933415E+00,+8.7939E-03,+2.8258795E+00
+15.1625000E+00,+2.8179647E+00,-179.6483E-03,+2.9062816E+00
+15.1630000E+00,+2.8933415E+00,+8.7939E-03,+2.8309047E+00
+15.1635000E+00,+2.8179647E+00,+8.7939E-03,+2.9062816E+00
